state,region,site_name,site_url,search_url
District of Columbia,washington,washingtondc,https://washingtondc.craigslist.org/,https://washingtondc.craigslist.org/search/apa
Florida,broward county,http://miamibrw/,http://miami.craigslist.org/brw/,http://miami.craigslist.org/brw/search/apa
Florida,daytona beach,daytona,https://daytona.craigslist.org/,https://daytona.craigslist.org/search/apa
Florida,florida keys,keys,https://keys.craigslist.org/,https://keys.craigslist.org/search/apa
Florida,fort lauderdale,fortlauderdale,https://fortlauderdale.craigslist.org/,https://fortlauderdale.craigslist.org/search/apa
Florida,ft myers / SW florida,fortmyers,https://fortmyers.craigslist.org/,https://fortmyers.craigslist.org/search/apa
Florida,gainesville,gainesville,https://gainesville.craigslist.org/,https://gainesville.craigslist.org/search/apa
Florida,heartland florida,cfl,https://cfl.craigslist.org/,https://cfl.craigslist.org/search/apa
Florida,jacksonville,jacksonville,https://jacksonville.craigslist.org/,https://jacksonville.craigslist.org/search/apa
Florida,lakeland,lakeland,https://lakeland.craigslist.org/,https://lakeland.craigslist.org/search/apa
Florida,miami / dade,http://miamimdc/,http://miami.craigslist.org/mdc/,http://miami.craigslist.org/mdc/search/apa
Florida,north central FL,lakecity,https://lakecity.craigslist.org/,https://lakecity.craigslist.org/search/apa
Florida,ocala,ocala,https://ocala.craigslist.org/,https://ocala.craigslist.org/search/apa
Florida,okaloosa / walton,okaloosa,https://okaloosa.craigslist.org/,https://okaloosa.craigslist.org/search/apa
Florida,orlando,orlando,https://orlando.craigslist.org/,https://orlando.craigslist.org/search/apa
Florida,panama city,panamacity,https://panamacity.craigslist.org/,https://panamacity.craigslist.org/search/apa
Florida,pensacola,pensacola,https://pensacola.craigslist.org/,https://pensacola.craigslist.org/search/apa
Florida,sarasota-bradenton,sarasota,https://sarasota.craigslist.org/,https://sarasota.craigslist.org/search/apa
Florida,south florida,miami,https://miami.craigslist.org/,https://miami.craigslist.org/search/apa
Florida,space coast,spacecoast,https://spacecoast.craigslist.org/,https://spacecoast.craigslist.org/search/apa
Florida,st augustine,staugustine,https://staugustine.craigslist.org/,https://staugustine.craigslist.org/search/apa
Florida,tallahassee,tallahassee,https://tallahassee.craigslist.org/,https://tallahassee.craigslist.org/search/apa
Florida,tampa bay area,tampa,https://tampa.craigslist.org/,https://tampa.craigslist.org/search/apa
Florida,treasure coast,treasure,https://treasure.craigslist.org/,https://treasure.craigslist.org/search/apa
Florida,palm beach county,http://miamipbc/,http://miami.craigslist.org/pbc/,http://miami.craigslist.org/pbc/search/apa
Georgia,albany ,albanyga,https://albanyga.craigslist.org/,https://albanyga.craigslist.org/search/apa
Georgia,athens,athensga,https://athensga.craigslist.org/,https://athensga.craigslist.org/search/apa
Georgia,atlanta,atlanta,https://atlanta.craigslist.org/,https://atlanta.craigslist.org/search/apa
Georgia,augusta,augusta,https://augusta.craigslist.org/,https://augusta.craigslist.org/search/apa
Georgia,brunswick,brunswick,https://brunswick.craigslist.org/,https://brunswick.craigslist.org/search/apa
Georgia,columbus ,columbusga,https://columbusga.craigslist.org/,https://columbusga.craigslist.org/search/apa
Georgia,macon / warner robins,macon,https://macon.craigslist.org/,https://macon.craigslist.org/search/apa
Georgia,northwest GA,nwga,https://nwga.craigslist.org/,https://nwga.craigslist.org/search/apa
Georgia,savannah / hinesville,savannah,https://savannah.craigslist.org/,https://savannah.craigslist.org/search/apa
Georgia,statesboro,statesboro,https://statesboro.craigslist.org/,https://statesboro.craigslist.org/search/apa
Georgia,valdosta,valdosta,https://valdosta.craigslist.org/,https://valdosta.craigslist.org/search/apa
Hawaii,hawaii,honolulu,https://honolulu.craigslist.org/,https://honolulu.craigslist.org/search/apa
Idaho,boise,boise,https://boise.craigslist.org/,https://boise.craigslist.org/search/apa
Idaho,east idaho,eastidaho,https://eastidaho.craigslist.org/,https://eastidaho.craigslist.org/search/apa
Idaho,lewiston / clarkston,lewiston,https://lewiston.craigslist.org/,https://lewiston.craigslist.org/search/apa
Idaho,twin falls,twinfalls,https://twinfalls.craigslist.org/,https://twinfalls.craigslist.org/search/apa
Illinois,bloomington-normal,bn,https://bn.craigslist.org/,https://bn.craigslist.org/search/apa
Illinois,champaign urbana,chambana,https://chambana.craigslist.org/,https://chambana.craigslist.org/search/apa
Illinois,chicago,chicago,https://chicago.craigslist.org/,https://chicago.craigslist.org/search/apa
Illinois,decatur,decatur,https://decatur.craigslist.org/,https://decatur.craigslist.org/search/apa
Illinois,la salle co,lasalle,https://lasalle.craigslist.org/,https://lasalle.craigslist.org/search/apa
Illinois,mattoon-charleston,mattoon,https://mattoon.craigslist.org/,https://mattoon.craigslist.org/search/apa
Illinois,peoria,peoria,https://peoria.craigslist.org/,https://peoria.craigslist.org/search/apa
Illinois,rockford,rockford,https://rockford.craigslist.org/,https://rockford.craigslist.org/search/apa
Illinois,southern illinois,carbondale,https://carbondale.craigslist.org/,https://carbondale.craigslist.org/search/apa
Illinois,springfield ,springfieldil,https://springfieldil.craigslist.org/,https://springfieldil.craigslist.org/search/apa
Illinois,western IL,quincy,https://quincy.craigslist.org/,https://quincy.craigslist.org/search/apa
Indiana,bloomington,bloomington,https://bloomington.craigslist.org/,https://bloomington.craigslist.org/search/apa
Indiana,evansville,evansville,https://evansville.craigslist.org/,https://evansville.craigslist.org/search/apa
Indiana,fort wayne,fortwayne,https://fortwayne.craigslist.org/,https://fortwayne.craigslist.org/search/apa
Indiana,indianapolis,indianapolis,https://indianapolis.craigslist.org/,https://indianapolis.craigslist.org/search/apa
Indiana,kokomo,kokomo,https://kokomo.craigslist.org/,https://kokomo.craigslist.org/search/apa
Indiana,lafayette / west lafayette,tippecanoe,https://tippecanoe.craigslist.org/,https://tippecanoe.craigslist.org/search/apa
Indiana,muncie / anderson,muncie,https://muncie.craigslist.org/,https://muncie.craigslist.org/search/apa
Indiana,richmond ,richmondin,https://richmondin.craigslist.org/,https://richmondin.craigslist.org/search/apa
Indiana,south bend / michiana,southbend,https://southbend.craigslist.org/,https://southbend.craigslist.org/search/apa
Indiana,terre haute,terrehaute,https://terrehaute.craigslist.org/,https://terrehaute.craigslist.org/search/apa
Iowa,ames,ames,https://ames.craigslist.org/,https://ames.craigslist.org/search/apa
Iowa,cedar rapids,cedarrapids,https://cedarrapids.craigslist.org/,https://cedarrapids.craigslist.org/search/apa
Iowa,des moines,desmoines,https://desmoines.craigslist.org/,https://desmoines.craigslist.org/search/apa
Iowa,dubuque,dubuque,https://dubuque.craigslist.org/,https://dubuque.craigslist.org/search/apa
Iowa,fort dodge,fortdodge,https://fortdodge.craigslist.org/,https://fortdodge.craigslist.org/search/apa
Iowa,iowa city,iowacity,https://iowacity.craigslist.org/,https://iowacity.craigslist.org/search/apa
Iowa,mason city,masoncity,https://masoncity.craigslist.org/,https://masoncity.craigslist.org/search/apa
Iowa,quad cities,quadcities,https://quadcities.craigslist.org/,https://quadcities.craigslist.org/search/apa
Iowa,sioux city,siouxcity,https://siouxcity.craigslist.org/,https://siouxcity.craigslist.org/search/apa
Iowa,southeast IA,ottumwa,https://ottumwa.craigslist.org/,https://ottumwa.craigslist.org/search/apa
Iowa,waterloo / cedar falls,waterloo,https://waterloo.craigslist.org/,https://waterloo.craigslist.org/search/apa
Kansas,lawrence,lawrence,https://lawrence.craigslist.org/,https://lawrence.craigslist.org/search/apa
Kansas,manhattan,ksu,https://ksu.craigslist.org/,https://ksu.craigslist.org/search/apa
Kansas,northwest KS,nwks,https://nwks.craigslist.org/,https://nwks.craigslist.org/search/apa
Kansas,salina,salina,https://salina.craigslist.org/,https://salina.craigslist.org/search/apa
Kansas,southeast KS,seks,https://seks.craigslist.org/,https://seks.craigslist.org/search/apa
Kansas,southwest KS,swks,https://swks.craigslist.org/,https://swks.craigslist.org/search/apa
Kansas,topeka,topeka,https://topeka.craigslist.org/,https://topeka.craigslist.org/search/apa
Kansas,wichita,wichita,https://wichita.craigslist.org/,https://wichita.craigslist.org/search/apa
Kentucky,bowling green,bgky,https://bgky.craigslist.org/,https://bgky.craigslist.org/search/apa
Kentucky,eastern kentucky,eastky,https://eastky.craigslist.org/,https://eastky.craigslist.org/search/apa
Kentucky,lexington,lexington,https://lexington.craigslist.org/,https://lexington.craigslist.org/search/apa
Kentucky,louisville,louisville,https://louisville.craigslist.org/,https://louisville.craigslist.org/search/apa
Kentucky,owensboro,owensboro,https://owensboro.craigslist.org/,https://owensboro.craigslist.org/search/apa
Kentucky,western KY,westky,https://westky.craigslist.org/,https://westky.craigslist.org/search/apa
Louisiana,baton rouge,batonrouge,https://batonrouge.craigslist.org/,https://batonrouge.craigslist.org/search/apa
Louisiana,central louisiana,cenla,https://cenla.craigslist.org/,https://cenla.craigslist.org/search/apa
Louisiana,houma,houma,https://houma.craigslist.org/,https://houma.craigslist.org/search/apa
Louisiana,lafayette,lafayette,https://lafayette.craigslist.org/,https://lafayette.craigslist.org/search/apa
Louisiana,lake charles,lakecharles,https://lakecharles.craigslist.org/,https://lakecharles.craigslist.org/search/apa
Louisiana,monroe,monroe,https://monroe.craigslist.org/,https://monroe.craigslist.org/search/apa
Louisiana,new orleans,neworleans,https://neworleans.craigslist.org/,https://neworleans.craigslist.org/search/apa
Louisiana,shreveport,shreveport,https://shreveport.craigslist.org/,https://shreveport.craigslist.org/search/apa
Maine,maine,maine,https://maine.craigslist.org/,https://maine.craigslist.org/search/apa
Maryland,annapolis,annapolis,https://annapolis.craigslist.org/,https://annapolis.craigslist.org/search/apa
Maryland,baltimore,baltimore,https://baltimore.craigslist.org/,https://baltimore.craigslist.org/search/apa
Maryland,eastern shore,easternshore,https://easternshore.craigslist.org/,https://easternshore.craigslist.org/search/apa
Maryland,frederick,frederick,https://frederick.craigslist.org/,https://frederick.craigslist.org/search/apa
Maryland,southern maryland,smd,https://smd.craigslist.org/,https://smd.craigslist.org/search/apa
Maryland,western maryland,westmd,https://westmd.craigslist.org/,https://westmd.craigslist.org/search/apa
Massachusetts,boston,boston,https://boston.craigslist.org/,https://boston.craigslist.org/search/apa
Massachusetts,cape cod / islands,capecod,https://capecod.craigslist.org/,https://capecod.craigslist.org/search/apa
